variant_id,length_mm,width_mm,height_mm,hole_dia_mm,fillet_r_mm
V001,60,30,6,6,3
V002,60,30,6,8,3
V003,60,40,6,6,3
V004,60,40,6,8,3
V005,60,40,6,10,3
V006,80,30,6,6,3
V007,80,30,6,8,3
V008,80,40,6,6,3
V009,80,40,6,8,3
V010,80,40,6,10,3
V011,100,30,6,6,3
V012,100,30,6,8,3
V013,100,40,6,6,3
V014,100,40,6,8,3
V015,100,40,6,10,3
V016,120,30,6,6,3
V017,120,30,6,8,3
V018,120,40,6,6,3
V019,120,40,6,8,3
V020,120,40,6,10,3
V021,140,30,6,6,3
V022,140,30,6,8,3
V023,140,40,6,6,3
V024,140,40,6,8,3
V025,140,40,6,10,3
